Age,Country,EdLevel,WorkExp,YearsCode,Employment,RemoteWork,OrgSize,Industry,ICorPM,NewRole,PurchaseInfluence,LearnCodeAI,ToolCountWork,ToolCountPersonal,AIThreat,AIFrustration,AISent,AIComplex,AIAgentChange,ConvertedCompYearly,JobSat
45-54 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",26.0,41.0,Employed,Remote,"1,000 to 4,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",20.0,5.0,No,"AI solutions that are almost right, but not quite;Other (write in):",Indifferent,Bad at handling complex tasks,"Yes, somewhat",245000.0,9.0
18-24 years old,Serbia,Some college/university study without earning a degree,1.0,5.0,Student,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,Software Development,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I endorsed a tool that was open-source and is currently used by more than just myself but no purchase was made","No, I learned something that was not related to AI or AI enablement as required for my job or to benefit my career",5.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Indifferent,Very poor at handling complex tasks,Not at all or minimally,14850.0,7.0
25-34 years old,Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,4.0,Employed,"Hybrid (some remote, leans heavy to in-person)",20 to 99 employees,Software Development,Individual contributor,I have strongly considered changing my career and/or the industry I work in,No,"No, I didn't spend time learning in the past year",2.0,2.0,No,I don’t use AI tools regularly,Unsure,I don't use AI tools for complex tasks / I don't know,"No, but my development work has significantly changed due to non-AI factors",3.0,3.0
25-34 years old,Poland,Some college/university study without earning a degree,6.0,9.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Banking/Financial Services,Individual contributor,I have somewhat considered changing my career and/or the industry I work in,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,2.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Very unfavorable,Very poor at handling complex tasks,Not at all or minimally,77987.0,7.0
25-34 years old,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,12.0,Employed,"Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees","Internet, Telecomm or Information Services",Individual contributor,I have somewhat considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",6.0,5.0,No,"AI solutions that are almost right, but not quite",Very favorable,"Good, but not great at handling complex tasks","Yes, somewhat",75472.0,7.0
25-34 years old,Czech Republic,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,18.0,Employed,In-person,"5,000 to 9,999 employees",Computer Systems Design and Services,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",6.0,5.0,I'm not sure,Not Specified,Unsure,I don't use AI tools for complex tasks / I don't know,Not Specified,77987.0,9.0
18-24 years old,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3.0,13.0,Student,Remote,"Just me - I am a freelancer, sole proprietor, etc.",Software Development,Individual contributor,I have transitioned into a new career and/or industry voluntarily,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",5.0,5.0,No,Not Specified,Unfavorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,77987.0,8.0
25-34 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,16.0,Employed,"Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",6.0,5.0,No,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",150000.0,8.0
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36.0,45.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Fintech,People manager,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",10.0,30.0,No,Not Specified,Very favorable,"Good, but not great at handling complex tasks","Yes, to a great extent",115720.0,8.0
25-34 years old,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,8.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Other:,Not Specified,I have strongly considered changing my career and/or the industry I work in,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",8.0,8.0,No,"AI solutions that are almost right, but not quite",Very favorable,Very poor at handling complex tasks,Not at all or minimally,20677.0,5.0
35-44 years old,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,17.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",2.0,5.0,No,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving",Favorable,I don't use AI tools for complex tasks / I don't know,Not at all or minimally,72958.0,8.0
35-44 years old,Uruguay,Some college/university study without earning a degree,8.0,11.0,Not employed,Not Specified,Not Specified,Not Specified,Not Specified,I have somewhat considered changing my career and/or the industry I work in,Not Specified,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",4.0,6.0,Yes,"AI solutions that are almost right, but not quite",Unfavorable,Very poor at handling complex tasks,"Yes, somewhat",1480.0,6.0
65 years or older,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",40.0,45.0,Retired,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,"No, I didn't spend time learning in the past year",6.0,5.0,Not Specified,Not Specified,Indifferent,Neither good or bad at handling complex tasks,Not at all or minimally,77987.0,10.0
35-44 years old,United Arab Emirates,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,12.0,Employed,Remote,20 to 99 employees,Other:,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I learned something that was not related to AI or AI enablement for my personal curiosity and/or hobbies",4.0,4.0,I'm not sure,"AI solutions that are almost right, but not quite;I’ve become less confident in my own problem-solving;It’s hard to understand how or why the code works",Favorable,Neither good or bad at handling complex tasks,"Yes, somewhat",13615.0,7.0
55-64 years old,Netherlands,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",35.0,35.0,"Independent contractor, freelancer, or self-employed",Not Specified,Not Specified,Software Development,Not Specified,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",15.0,15.0,No,I don’t use AI tools regularly,Favorable,Bad at handling complex tasks,Not at all or minimally,77987.0,7.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,25.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"No, I didn't spend time learning in the past year",8.0,2.0,No,"AI solutions that are almost right, but not quite",Unfavorable,Bad at handling complex tasks,Not at all or minimally,116000.0,10.0
25-34 years old,Belgium,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,15.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Computer Systems Design and Services,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",5.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Bad at handling complex tasks,"Yes, somewhat",87011.0,10.0
35-44 years old,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,22.0,Employed,"Your choice (very flexible, you can come in when you want or just as needed)",500 to 999 employees,Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,No,"Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",1.0,1.0,No,Debugging AI-generated code is more time-consuming,Unfavorable,Very poor at handling complex tasks,Not at all or minimally,90000.0,9.0
25-34 years old,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,15.0,Employed,"Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Fintech,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",7.0,3.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Unfavorable,Bad at handling complex tasks,Not at all or minimally,36407.0,10.0
35-44 years old,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,20.0,Employed,Remote,"5,000 to 9,999 employees",Software Development,Individual contributor,I have neither consider or transitioned into a new career or industry,"Yes, I influenced the purchase of a substantial addition to the tech stack","Yes, I learned how to use AI-enabled tools for my personal curiosity and/or hobbies",3.0,4.0,No,"AI solutions that are almost right, but not quite;Debugging AI-generated code is more time-consuming",Very favorable,Bad at handling complex tasks,"Yes, somewhat",139218.0,7.0
